"","SiteID","CouncilSiteID","LawaSiteID","LWQuality","LType","LFENZID","Region","Agency","Lat","Long"
"1","6301","6301","ARC-00097","Yes","Polymictic","22999","Auckland","Auckland Council","-36.18592096","174.6349355"
"2","6303","6303","ARC-00098","Yes","Polymictic","21871","Auckland","Auckland Council","-36.1926222299999","174.6490707"
"3","7605","7605","ARC-00099","Yes","Monomictic","50151","Auckland","Auckland Council","-36.77993085","174.7673038"
"4","45001","45001","ARC-00100","Yes","Monomictic","50270","Auckland","Auckland Council","-36.51401568","174.2393739"
"5","45003","45003","ARC-00101","Yes","Polymictic","49884","Auckland","Auckland Council","-36.5906273799999","174.2781825"
"6","45011","45011","ARC-00102","Yes","Monomictic","50269","Auckland","Auckland Council","-36.5273751899999","174.244268"
"7","44616","6301","ARC-10002","Yes","Monomictic","45819","Auckland","Auckland Council","-36.8897819","174.4682335"
"8","Kaituna at Rotoiti Outlet","FL356693","EBOP-00007","Yes","Stratified","15325","Bay of Plenty","BOPRC","-38.0177585587837","176.343976823451"
"9","Lake Okareka Site 1","FK424008","EBOP-00087","Yes","Stratified","14290","Bay of Plenty","BOPRC","-38.1673603256056","176.35889350614"
"10","Lake Okaro Site 1","FI680541","EBOP-00088","Yes","Stratified","54731","Bay of Plenty","BOPRC","-38.298866966033","176.393775440022"
"11","Lake Okataina Site 1","GK015589","EBOP-00089","Yes","Stratified","40071","Bay of Plenty","BOPRC","-38.1149218683115","176.423732816386"
"12","Lake Rerewhakaaitu Site 1","GI617624","EBOP-00090","Yes","Polymictic","40188","Bay of Plenty","BOPRC","-38.2876822849198","176.500660159196"
"13","Lake Rotoehu at Morehu Road","GL895460","LAWA-100506","Yes","Polymictic","54730","Bay of Plenty","BOPRC","-38.0336056180406","176.519991755064"
"14","Lake Rotoehu at Kennedy Bay","HL129560","LAWA-100507","Yes","Polymictic","54730","Bay of Plenty","BOPRC","-38.0237912383973","176.546168843501"
"15","Lake Rotoehu at Otautu Bay Boat Ramp","HL145688","LAWA-100508","Yes","Polymictic","54730","Bay of Plenty","BOPRC","-38.0122249898182","176.547504332307"
"16","Lake Rotoehu Site 3","HL032555","EBOP-00091","Yes","Polymictic","40102","Bay of Plenty","BOPRC","-38.0243948262179","176.534936227251"
"17","Lake Rotoiti at Te Weta Bay","FL419523","LAWA-100509","Yes","Stratified","54733","Bay of Plenty","BOPRC","-38.0328490571565","176.351824580689"
"18","Lake Rotoiti at Okawa Bay","FL289316","EBOP-10012","Yes","Stratified","11133","Bay of Plenty","BOPRC","-38.0518410375924","176.338038940865"
"19","Lake Rotoiti at Whangamoa Dr Boat Ramp","FL779744","EBOP-10013","Yes","Stratified","11133","Bay of Plenty","BOPRC","-38.0124833955791","176.368979617944"
"20","Lake Rotoiti Okawa Bay","FL274353","EBOP-00093","Yes","Stratified","54732","Bay of Plenty","BOPRC","-38.0485108935717","176.334769071366"
"21","Lake Rotoiti Site 3","FL479469","EBOP-00091","Yes","Stratified","15312","Bay of Plenty","BOPRC","-38.0375134972271","176.358886774093"
"22","Lake Rotoiti Site 4","GL051366","EBOP-00092","Yes","Stratified","15325","Bay of Plenty","BOPRC","-38.047185493196","176.427293524685"
"23","Lake Rotoma Site 1","HL508168","EBOP-00095","Yes","Stratified","14290","Bay of Plenty","BOPRC","-38.056091541784","176.5879539096"
"24","Lake Rotomahana Site 2","GI084907","EBOP-00096","Yes","Stratified","54731","Bay of Plenty","BOPRC","-38.2637533538028","176.439886853147"
"25","Lake Rotorua at Holdens Bay","EK935598","EBOP-10018","Yes","Polymictic","40071","Bay of Plenty","BOPRC","-38.1176697572749","176.300991013851"
"26","Lake Rotorua Site 2","EK783777","EBOP-00098","Yes","Polymictic","40188","Bay of Plenty","BOPRC","-38.1001701618011","176.282668966356"
"27","Lake Rotorua Site 5","EL802148","EBOP-00097","Yes","Polymictic","54730","Bay of Plenty","BOPRC","-38.0667878334008","176.283396143314"
"28","Lake Tarawera at Landing","FJ563592","LAWA-100510","Yes","Stratified","54730","Bay of Plenty","BOPRC","-38.2061117776829","176.376246984535"
"29","Lake Tarawera at Stoney Point Boat Ramp","FJ740746","EBOP-10022","Yes","Stratified","54730","Bay of Plenty","BOPRC","-38.1916954517624","176.395789975249"
"30","Lake Tarawera Site 5","FJ986647","EBOP-00099","Yes","Stratified","40102","Bay of Plenty","BOPRC","-38.1996604122387","176.424419794318"
"31","Lake Tikitapu Site 1","FJ164707","EBOP-00100","Yes","Stratified","54733","Bay of Plenty","BOPRC","-38.1952486848919","176.33051672887"
"32","Lake Sumner off Charleys Point","SQ30079","ECAN-00326","YES","Stratified","54738","Canterbury","Environment Canterbury","-42.7000545016094","172.190079767718"
"33","Lake Sheppard mid lake","SQ30140","ECAN-00364","YES","Stratified","39357","Canterbury","Environment Canterbury","-42.7613209628524","172.251912416806"
"34","Lake Taylor mid lake","SQ30141","ECAN-00327","YES","Stratified","39356","Canterbury","Environment Canterbury","-42.7696423149379","172.2374900068"
"35","Lake Marion from outlet side","SQ30144","ECAN-00356","YES","Stratified","39367","Canterbury","Environment Canterbury","-42.679135791557","172.231962291978"
"36","Lake Katrine mid lake","SQ30147","ECAN-00328","YES","Stratified","39364","Canterbury","Environment Canterbury","-42.7180229903476","172.200037837705"
"37","Lake Forsyth at Catons Bay","SQ32640","LAWA-101984","YES","ICOLL","47579","Canterbury","Environment Canterbury","-43.7905937844029","172.758638446754"
"38","Lake Emma Centre, surface","SQ32801","ECAN-00342","YES","Polymictic","41299","Canterbury","Environment Canterbury","-43.6354061240519","171.107330848913"
"39","Lake Camp Centre, surface","SQ32802","ECAN-00343","YES","Stratified","41306","Canterbury","Environment Canterbury","-43.6147393990935","171.055929666188"
"40","Lake Clearwater Centre, surface","SQ32804","ECAN-00344","YES","Stratified","41305","Canterbury","Environment Canterbury","-43.6038440169452","171.052153456875"
"41","Lake Tekapo Centre, surface","SQ32908","ECAN-00345","YES","Stratified","47228","Canterbury","Environment Canterbury","-43.9346611422597","170.527998090914"
"42","Lake Ohau mid lake","SQ32909","ECAN-00346","YES","Stratified","45514","Canterbury","Environment Canterbury","-44.2731125870855","169.878326750225"
"43","Lake Forsyth at recorder","SQ33147","ECAN-00347","YES","ICOLL","47579","Canterbury","Environment Canterbury","-43.7999330328771","172.736459466584"
"44","Lake Ellesmere at Kaituna Lagoon","SQ33593","ECAN-00372","YES","ICOLL","48177","Canterbury","Environment Canterbury","-43.7951118587767","172.663609005614"
"45","Lake Hawdon mid lake","SQ30486","ECAN-00329","YES","Polymictic","48669","Canterbury","Environment Canterbury","-43.1040090329566","171.85058179225"
"46","Lake Pearson north basin","SQ30497","ECAN-00330","YES","Stratified","48660","Canterbury","Environment Canterbury","-43.099264145515","171.782031967847"
"47","Lake Sarah mid lake","SQ30521","ECAN-00332","YES","Polymictic","48673","Canterbury","Environment Canterbury","-43.0482453648117","171.776197010399"
"48","Lake Grasmere mid lake","SQ30525","ECAN-00333","YES","Stratified","48663","Canterbury","Environment Canterbury","-43.0625263081479","171.776414981115"
"49","Lake Ellesmere off Timber Yard Point","SQ30953","ECAN-00369","YES","ICOLL","48177","Canterbury","Environment Canterbury","-43.794976180795","172.395786042931"
"50","Lake Ellesmere mid-lake","SQ30954","ECAN-00334","YES","ICOLL","48177","Canterbury","Environment Canterbury","-43.7845987203961","172.454017354757"
"51","Lake Ellesmere off Selwyn River mouth","SQ30955","ECAN-00370","YES","ICOLL","48177","Canterbury","Environment Canterbury","-43.7501770117331","172.434347867016"
"52","Lake Ellesmere off Taumutu","SQ30956","ECAN-00371","YES","ICOLL","48177","Canterbury","Environment Canterbury","-43.8426136373841","172.385191152115"
"53","Lake Lyndon mid lake","SQ31043","ECAN-00335","YES","Stratified","48597","Canterbury","Environment Canterbury","-43.2999102746262","171.703637051304"
"54","Lake Coleridge mid lake, near island","SQ31045","ECAN-00336","YES","Stratified","48451","Canterbury","Environment Canterbury","-43.2860602146766","171.484399540275"
"55","Lake Georgina mid lake","SQ31047","ECAN-00337","YES","Polymictic","48447","Canterbury","Environment Canterbury","-43.3177046437917","171.568863187848"
"56","Lake Evelyn Lake Evelyn at mid lake","SQ31050","ECAN-00352","YES","Stratified","48217","Canterbury","Environment Canterbury","-43.2524432523952","171.537655391873"
"57","Lake Ida mid lake","SQ31051","ECAN-00338","YES","Polymictic","48455","Canterbury","Environment Canterbury","-43.2354097769768","171.5383835601"
"58","Lake Catherine mid lake","SQ31052","ECAN-00350","YES","Stratified","48456","Canterbury","Environment Canterbury","-43.2215299615228","171.559877772981"
"59","Lake Henrietta mid lake","SQ31064","ECAN-00353","YES","Stratified","48216","Canterbury","Environment Canterbury","-43.2292861605872","171.500066620608"
"60","Lake Selfe mid lake","SQ31065","ECAN-00339","YES","Stratified","48213","Canterbury","Environment Canterbury","-43.2412934461352","171.521950376803"
"61","Lake Heron main basin","SQ31093","ECAN-00340","YES","Stratified","47892","Canterbury","Environment Canterbury","-43.4843191352548","171.168920411186"
"62","Lake Alexandrina mid lake, surface","SQ31096","ECAN-00341","YES","Stratified","47193","Canterbury","Environment Canterbury","-43.9334309450786","170.45382149692"
"63","Wainono Lagoon off Lake Road","SQ20601","ECAN-00325","YES","ICOLL","12469","Canterbury","Environment Canterbury","-44.7024444055899","171.146043923122"
"64","Lake Middleton mid lake","SQ20927","ECAN-00362","YES","Stratified","45504","Canterbury","Environment Canterbury","-44.278692375364","169.848698694963"
"65","Lake Benmore Centre- northern arm","SQ34907","ECAN-00354","YES","Stratified","7409","Canterbury","Environment Canterbury","-44.448945973633","170.21169206782"
"66","Lake Pukaki - southern end","SQ34908","ECAN-00355","YES","Stratified","46564","Canterbury","Environment Canterbury","-44.0963252953063","170.199450701414"
"67","Lake Forsyth at Birdlings Flat","SQ34980","LAWA-101985","YES","ICOLL","47579","Canterbury","Environment Canterbury","-43.8252395243101","172.709301634397"
"68","Lake Rotorua by east arm","SQ35175","ECAN-00363","YES","Polymictic","25994","Canterbury","Environment Canterbury","-42.407615256367","173.583490311712"
"69","Lake Emily mid lake","SQ35362","ECAN-00357","YES","Polymictic","47860","Canterbury","Environment Canterbury","-43.5508744588358","171.226328722247"
"70","Maori Lake - front","SQ35363","ECAN-00358","YES","Polymictic","47859","Canterbury","Environment Canterbury","-43.5753941529199","171.182268982952"
"71","Maori Lake - back","SQ35364","ECAN-00359","YES","Polymictic","45724","Canterbury","Environment Canterbury","-43.5705317757312","171.167518333242"
"72","Lake Benmore Ahuriri Arm","SQ35639","ECAN-00367","YES","Stratified","7409","Canterbury","Environment Canterbury","-44.5316283928935","170.109336081806"
"73","Lake Benmore above dam","SQ35640","ECAN-00368","YES","Stratified","7409","Canterbury","Environment Canterbury","-44.5618778055826","170.204937460237"
"74","Lake Aviemore mid lake","SQ35641","ECAN-00349","YES","Stratified","7408","Canterbury","Environment Canterbury","-44.6325048737933","170.29602237832"
