Value,Type
SQ30079,Site
SQ30140,Site
SQ30141,Site
SQ30144,Site
SQ30147,Site
SQ32640,Site
SQ32801,Site
SQ32802,Site
SQ32804,Site
SQ32908,Site
SQ32909,Site
SQ33147,Site
SQ33593,Site
SQ30486,Site
SQ30497,Site
SQ30521,Site
SQ30525,Site
SQ30953,Site
SQ30954,Site
SQ30955,Site
SQ30956,Site
SQ31043,Site
SQ31045,Site
SQ31047,Site
SQ31050,Site
SQ31051,Site
SQ31052,Site
SQ31064,Site
SQ31065,Site
SQ31093,Site
SQ31096,Site
SQ20601,Site
SQ20927,Site
SQ34907,Site
SQ34908,Site
SQ34980,Site
SQ35175,Site
SQ35362,Site
SQ35363,Site
SQ35364,Site
SQ35639,Site
SQ35640,Site
SQ35641,Site
SQ35642,Site
SQ35823,Site
SQ35833,Site
SQ35888,Site
SQ34548,Site
SQ36037,Site
SQ36148,Site
Ammoniacal Nitrogen,Measurement
Dissolved Reactive Phosphorus,Measurement
Total Phosphorus,Measurement
Total Nitrogen,Measurement
E. coli,Measurement
Ecoli,Measurement
pH,Measurement
Nitrate Nitrogen,Measurement
Secchi Disk,Measurement
Total Oxidised Nitrogen,Measurement
Total Organic Nitrogen,Measurement
Nitrate Nitrite Nitrogen,Measurement
TON,Measurement
Chlorophyll A,Measurement
CHL a,Measurement
Cyanotox,Measurement
Cyanoall,Measurement
WQ Sample,Measurement
