Value,Type
Waituna Lagoon at Lagoon Centre,Site
Waituna Lagoon at Lagoon South,Site
Waituna Lagoon at Lagoon West,Site
Waituna Lagoon at Lagoon East,Site
Waiau Lagoon Middle,Site
Waiau Lagoon opp boat ramp,Site
Waiau Lagoon Monitoring Station,Site
Lake George NE,Site
Lake Te Anau at South Fiord Top,Site
Lake George SW,Site
Lake Manapouri at Pomona Island Top,Site
Lake Manapouri at Stony Point Top,Site
Lake Manapouri near Frazers Beach Top,Site
Lake Te Anau at Blue Gum Point Top,Site
Lake Vincent Centre,Site
Lake Vincent North,Site
The Reservoir Centre,Site
The Reservoir West,Site
Nitrogen (Total),Measurement
Phosphorus (Total),Measurement
pH (Lab),Measurement
Clarity (Secchi Disc),Measurement
Chlorophyll A <mg/l> [Chlorophyll A <mg/l>],Measurement
Nitrogen (Total Ammoniacal),Measurement
E-Coli <CFU>,Measurement
WQ Sample,Measurement
