Value,Type
Lake Kohangatera,Site
Lake Wairarapa Site 2,Site
Lake Wairarapa Alsops Bay,Site
Lake Onoke 1,Site
Lake Wairarapa Middle,Site
Dissolved Reactive Phosphorus,Measurement
DRP,Measurement
Nitrate Nitrogen,Measurement
Nitrate Nitrite Nitrogen,Measurement
NNN,Measurement
Total Oxidised Nitrogen,Measurement
TON,Measurement
E-Coli,Measurement
Total Nitrogen,Measurement
Total Phosphorus,Measurement
pH (Lab)(X),Measurement
Chlorophyll a,Measurement
Ammoniacal Nitrogen,Measurement
pH (Field)(X),Measurement
Secchi depth,Measurement
WQ Sample,Measurement
