Value,Type
Lake Oingo - Lake Centre,Site
Lake Runanga - Lake Centre,Site
Lake Waikareiti Top,Site
Lake Waikaremoana Top,Site
Lake Opouahi Top,Site
Lake Tutira Top,Site
Lake Waikopiro Top,Site
Total Phosphorus,Measurement
Dissolved Reactive Phosphorus,Measurement
E. Coli,Measurement
Ammoniacal Nitrogen,Measurement
Total Oxidised Nitrogen,Measurement
TON,Measurement
NNN,Measurement
Nitrate Nitrite Nitrogen,Measurement
Nitrate Nitrogen,Measurement
pH (Lab),Measurement
pH (Field),Measurement
Total Nitrogen,Measurement
Chlorophyll a WATER,Measurement
Secchi Depth,Measurement
Total Phosphorus [Total Phosphorus],Measurement
WQ Sample,Measurement
Cyanotox,Measurement
Cyanoall,Measurement
