Value,Type
Lake Tuakitoto at Outlet,Site
Lake Hawea Outflow at Dam,Site
Lake Wakatipu at Outflow,Site
Lake Hayes at Bendemeer Bay,Site
Lake Johnson at South Beach huts,Site
Lake Onslow at Boat Ramp,Site
Lake Waihola at End of jetty,Site
Lake Dunstan at Dead Mans Point,Site
Lake Wanaka at Outlet,Site
Ammoniacal Nitrogen,Measurement
Total Phosphorus,Measurement
Total Nitrogen,Measurement
E-Coli MPN,Measurement
Chlorophyll a,Measurement
pH (Lab),Measurement
Dissolved reactive phosphorus,MeasurementB
DRP,MeasurementB
Nitrate nitrogen,MeasurementB
Secchi disk,MeasurementB
Secchi depth,MeasurementB
Secchi,MeasurementB
