Value,Type
L Brunner @ GYB Mid Lake - 0-25m tube,Site
L. Haupiri @ H2 5m,Site
L Brunner @ GYB Cashmere Bay - 4m,Site
Phosphorous Total,Measurement
Ammonia Total,Measurement
Nitrogen (Total),Measurement
Water Clarity (Secchi Disc),Measurement
Chlorophyll a,Measurement
pH,Measurement
Phosphorous (Total),Measurement
Nitrogen (Total),Measurement
E.coli (Mem Filtration),Measurement
Ecoli,MeasurementB
E coli,MeasurementB
E. coli,MeasurementB
E.coli,MeasurementB
pH,MeasurementB
Phosphorous (Total),MeasurementB
Cyanotox,MeasurementB
Cyanoall,MeasurementB
